iter	Passed	Remaining
0	0	91
1	1	85
2	2	81
3	3	77
4	4	77
5	4	76
6	5	75
7	6	74
8	7	72
9	8	72
10	8	71
11	9	71
12	10	71
13	11	70
14	12	69
15	13	68
16	13	67
17	14	67
18	15	66
19	16	65
20	17	65
21	18	64
22	19	64
23	19	63
24	20	62
25	21	61
26	22	60
27	23	59
28	23	58
29	24	58
30	25	57
31	26	56
32	27	55
33	28	54
34	29	54
35	29	53
36	30	52
37	31	51
38	32	50
39	33	49
40	33	48
41	34	47
42	35	46
43	36	46
44	37	45
45	37	44
46	38	43
47	39	43
48	40	42
49	41	41
50	42	40
51	42	39
52	43	38
53	44	38
54	45	37
55	46	36
56	46	35
57	47	34
58	48	33
59	49	32
60	50	32
61	51	31
62	51	30
63	52	29
64	53	28
65	54	28
66	55	27
67	56	26
68	57	25
69	57	24
70	58	23
71	59	23
72	60	22
73	60	21
74	61	20
75	62	19
76	63	19
77	64	18
78	65	17
79	66	16
80	66	15
81	67	14
82	68	14
83	69	13
84	70	12
85	71	11
86	72	10
87	73	9
88	73	9
89	74	8
90	75	7
91	76	6
92	77	5
93	78	4
94	79	4
95	79	3
96	80	2
97	81	1
98	82	0
99	83	0
